k1,k2,k3,average,difficulty
25,54,14,81.49,268
24,90,42,82.8,486
15,47,17,26.83,239
14,76,49,66.74,452
46,4,7,26.97,132
2,74,39,83.82,382
16,63,26,56.25,325
49,12,10,65.42,174
32,46,12,87.31,250
42,66,73,87.58,574
20,52,14,85.82,252
21,57,8,36.17,245
2,16,38,54.8,204
6,66,15,26.15,270
36,86,40,90.14,490
40,15,24,81.92,221
2,77,37,43.78,383
3,30,54,56.01,312
8,23,4,63.56,101
24,38,32,32.61,290
18,23,44,68.21,281
18,66,76,52.34,538
49,52,37,50.22,402
37,81,39,69.47,473
18,88,23,57.72,392
50,6,72,78.91,406
35,61,62,81.73,501
41,89,73,67.01,641
12,37,3,27.77,147
8,74,55,67.31,458
49,26,79,82.17,492
17,8,80,37.35,378
47,77,3,67.78,337
22,49,41,33.28,355
0,38,44,64.04,290
3,8,63,76.51,282
10,35,65,33.84,385
22,53,34,57.56,339
17,58,47,70.88,396
0,28,68,79.37,356
17,50,70,59.94,464
26,20,33,59.73,244
18,45,28,73.02,283
44,48,14,44.86,288
15,54,5,39.52,212
25,3,14,86.16,115
40,26,59,70.24,394
47,44,4,30.07,242
47,52,77,65.93,558
25,11,75,55.32,383
51,6,8,28.55,152
4,20,14,37.38,124
16,22,12,35.03,146
29,84,55,39.82,530
41,73,82,85.93,629
17,25,63,51.01,361
12,88,39,30.15,444
7,5,45,34.68,209
48,52,70,34.19,532
3,14,58,70.73,280
39,4,50,52.19,290
31,81,70,47.46,585
29,33,67,34.89,425
4,79,59,80.27,481
29,1,11,70.57,105
3,57,25,73.33,277
35,79,34,65.07,443
39,85,3,61.33,345
26,21,67,48.98,383
45,48,70,36.11,514
37,12,67,81.48,378
25,52,44,55.81,382
5,72,22,81.61,314
0,90,80,26.36,590
27,44,6,75.19,210
30,60,31,49.29,364
43,23,55,58.62,375
1,40,80,63.06,442
41,75,25,33.08,407
50,62,46,83.14,470
12,6,61,66.01,286
10,90,57,90.09,518
33,16,52,37.24,322
37,50,21,26.73,308
11,50,3,31.82,184
50,40,8,76.99,252
48,54,52,67.09,466
12,35,75,57.46,429
0,82,78,28.64,558
24,68,29,55.67,368
42,26,54,53.99,378
27,68,79,42.5,574
43,75,58,79.37,543
12,87,0,69.66,285
6,85,12,72.62,315
1,67,26,86.97,307
36,39,9,40.17,225
49,81,28,85.1,453
11,51,7,88.55,203
49,13,28,36.44,249
29,83,26,31.73,411
35,53,62,51.02,477
34,84,26,33.36,424
40,40,20,66.97,280
46,55,24,54.4,353
15,36,48,61.01,330
36,89,41,78.79,503
25,54,80,67.93,532
31,82,1,35.45,312
46,81,22,71.57,423
37,16,20,89.44,202
21,78,38,63.56,428
27,62,68,90.46,512
44,36,82,47.61,524
41,68,38,84.66,438
25,14,78,74.7,404
25,54,82,82.79,540
31,11,22,80.78,183
14,36,47,85.46,324
20,30,63,69,382
33,13,74,40.13,401
17,64,19,85.43,302
30,21,62,86.86,371
9,79,63,27.8,507
18,14,56,53.75,302
43,58,29,71.87,376
46,71,37,51.07,453
30,76,65,69.75,548
7,17,21,66.63,149
40,27,0,43.58,161
6,15,32,27.26,185
14,89,11,28.93,339
13,79,71,37.63,547
2,8,9,36.25,64
19,82,18,68.93,356
42,6,16,62.75,166
12,39,63,53.39,393
28,60,0,73.77,236
48,4,55,42.33,328
14,87,9,55.72,325
17,1,16,40.24,101
46,50,55,64.27,462
17,15,55,80.88,299
37,9,69,80.2,377
14,37,46,60.73,323
9,44,16,53.3,214
43,87,50,79.93,547
17,20,42,30.27,262
29,69,68,42.56,537
3,55,44,54.08,347
24,35,69,73.34,429
12,9,61,36.75,295
47,38,71,53.92,492
32,7,29,38.47,201
8,37,70,84.47,407
52,39,58,65.62,453
7,83,55,76.28,483
25,60,77,72.87,538
14,85,68,87.9,555
18,82,29,31.45,398
50,36,37,31.56,356
43,23,62,39.72,403
3,15,81,61.09,375
16,25,65,62.25,367
27,44,37,27.78,334
16,31,28,45.05,237
14,15,46,40.81,257
10,44,53,70.88,364
3,64,53,72.89,410
25,25,1,29.99,129
25,5,66,50.53,329
39,23,36,69.48,291
37,74,72,49.88,584
14,43,42,65.55,325
52,8,57,89.83,356
37,82,26,57.56,424
0,19,62,50.35,305
6,80,25,73.44,352
38,24,55,65.64,368
45,50,0,72.73,240
15,19,48,29.42,279
4,60,3,41.63,200
17,40,38,52.77,306
34,18,54,25.87,338
40,46,72,31.17,506
2,50,47,42.16,342
18,52,43,25.9,364
34,52,71,33.43,508
9,75,72,38.07,531
17,48,17,37.99,246
0,21,53,80.42,275
28,18,73,35.27,402
14,70,80,56.16,558
49,18,42,57.68,320
26,9,18,83.57,151
7,3,36,26.02,167
38,82,71,26.9,606
2,51,34,26.93,293
50,25,45,39.43,355
38,34,17,64.29,246
34,19,0,71.33,125
4,38,37,83.34,270
35,47,46,50.48,395
43,18,3,76.25,152
4,59,44,82.79,361
35,5,30,88.92,205
1,1,3,67.21,17
41,89,12,30.01,397
10,77,16,73.55,315
49,85,51,64.97,557
7,7,34,63.52,171
27,88,73,42.52,610
51,2,67,25.71,376
4,15,3,63.06,65
34,89,79,49.98,651
48,61,50,36.84,479
24,66,38,39.95,398
1,22,66,27.95,332
13,87,70,27.87,567
32,27,10,63.39,185
49,34,20,51.63,280
48,40,10,31.4,256
0,77,51,33.18,435
16,1,52,70.93,243
26,3,24,29.39,157
51,19,11,59.01,203
47,48,34,73.97,374
13,62,3,81.27,224
32,84,15,49.2,376
45,70,51,37.02,504
0,89,29,76.54,383
2,42,34,73.93,266
19,11,6,72.69,95
12,80,0,36.93,264
8,22,60,36.84,322
9,73,52,83.61,445
10,24,78,76.81,404
30,46,47,52.82,386
24,10,64,82.49,334
14,48,53,31.3,384
52,18,81,66.89,482
2,83,78,68.79,565
30,37,72,28.45,459
48,32,11,49.52,236
12,9,44,82.37,227
45,42,34,44.49,352
2,4,69,46.17,292
10,74,59,81.15,478
42,81,49,26.2,523
0,70,17,75.31,278
15,78,55,75.44,484
24,89,51,56.21,519
42,8,54,43.38,324
34,41,46,44.07,375
15,84,72,26.93,570
6,27,70,88.72,373
10,44,16,67.6,216
16,51,24,70.45,281
30,61,19,39.53,319
44,73,33,63.58,439
49,45,55,73.19,453
52,30,15,39.81,254
17,41,34,73.03,293
9,45,7,63.89,181
51,44,80,71.07,554
19,13,28,44.28,189
37,0,17,74.19,142
40,74,69,77.41,578
32,51,53,72.75,429
51,45,19,65.69,313
7,65,23,45.78,301
52,48,74,44.52,544
18,15,58,38.73,313
31,41,75,75.08,485
40,84,82,52.31,660
2,22,67,73.56,338
5,2,34,47.12,152
8,82,37,81.62,410
29,84,29,68.96,426
34,48,28,75.66,324
37,22,13,45.01,192
6,30,54,42.47,318
33,9,17,48.92,161
45,56,80,51.46,578
19,33,80,68.26,457
24,46,29,26.07,302
9,18,42,63.15,240
45,12,40,32.53,286
40,67,45,65.66,461
3,16,36,45.72,198
48,25,64,65.2,427
11,79,3,55.11,271
30,30,15,38.04,210
34,83,26,61.68,421
9,88,61,87,526
11,17,25,63.57,173
33,67,40,63.99,427
44,34,79,32.81,506
39,27,64,58.37,415
51,54,58,63,496
12,9,1,39.75,55
20,63,29,82.94,345
34,39,21,27.25,269
27,65,62,57.23,497
22,64,17,79.93,304
24,64,52,43.07,448
39,0,41,53.17,242
18,49,73,36.23,475
34,34,63,74.49,422
30,12,32,36.76,224
47,14,55,53.31,356
9,89,50,71.13,485
5,43,4,65.49,155
9,55,38,62.72,335
22,39,18,84.85,233
4,75,41,40.38,397
15,9,22,62.82,145
11,36,27,61.06,238
34,29,14,71.98,211
36,62,26,78.9,362
33,61,58,27.62,481
27,36,59,69.05,398
37,83,29,45.09,439
27,85,0,26.85,309
44,78,46,79.91,506
2,32,76,65.91,404
12,50,46,38.16,358
49,31,63,51.35,443
15,67,42,70.25,399
25,29,11,74.08,181
0,54,21,57.54,246
11,57,50,64.56,393
16,29,23,89.53,211
38,89,68,87.14,615
34,15,41,80.73,277
50,75,52,82.3,533
44,43,30,60.41,337
19,89,12,77.67,353
26,41,52,46.68,383
9,27,38,42.42,251
1,10,24,67.21,128
35,70,4,39.13,296
26,21,23,61.21,207
19,40,51,63.99,362
25,60,59,30.4,466
20,66,38,48.43,390
47,90,69,74.83,640
31,23,53,26.6,343
28,0,42,26.91,224
6,44,60,47.72,384
50,29,6,33.8,211
49,83,50,54.24,547
21,54,8,77.76,236
17,75,47,28.76,447
16,57,76,51.89,507
14,67,1,41.48,233
7,89,63,36.08,533
18,27,41,42.33,281
42,63,55,86.26,493
24,47,63,32.69,441
0,65,61,75.64,439
8,88,54,37.42,496
38,41,71,32.26,483
39,82,77,39.85,632
36,58,21,50.07,330
37,39,25,39.05,291
28,54,80,36.51,538
9,34,53,63.76,332
22,17,73,85.19,387
0,2,68,53.98,278
16,43,25,82.42,261
44,63,60,84.83,517
46,15,60,36.79,377
4,52,3,68.77,176
36,43,65,87.64,461
32,42,8,56.77,222
42,84,28,57.39,448
26,75,80,53.19,597
49,75,72,30.77,611
22,68,77,34.97,556
20,18,77,59.18,402
2,17,80,84.68,375
26,58,4,39.32,242
10,42,74,66.29,442
17,0,61,72.04,278
44,85,54,53.7,559
22,16,69,60.19,368
5,38,59,78.97,360
30,25,62,56.25,383
2,12,17,64.18,108
35,37,11,49.3,225
39,12,9,65.92,150
45,54,68,31.15,524
22,32,24,74.74,236
42,54,63,87.36,498
4,29,78,70.23,407
16,27,33,65.86,245
19,54,19,77.71,276
15,41,40,30.02,313
30,42,31,83.14,310
39,71,71,51.17,575
43,0,72,62.48,374
40,49,11,55.08,271
30,60,78,58.95,552
43,20,78,49.87,458
2,67,60,57.72,445
17,39,19,59.34,227
0,66,38,26.48,350
7,15,24,32.24,155
40,43,55,37.45,429
18,18,60,49.19,330
28,61,57,82.89,467
14,89,51,38.63,499
41,12,1,62.06,122
52,56,52,39.37,480
19,71,56,83.59,475
25,36,65,59.94,418
24,62,18,59.37,306
51,5,47,70.23,305
29,73,75,54.77,577
32,22,18,46.69,202
25,74,17,59.44,340
21,54,40,49.62,364
52,88,50,84.4,568
0,65,57,67.88,423
39,23,58,51.1,379
23,11,66,69.86,343
25,12,31,45.62,210
24,58,35,76.26,362
45,31,4,75.38,199
44,55,7,53.68,281
36,75,27,26.24,405
1,88,54,27.49,482
23,63,80,36.89,555
48,73,33,80.26,447
7,10,73,67.92,336
20,44,48,45.31,364
33,42,78,47.02,504
46,17,59,34.96,379
8,54,0,32.81,178
31,33,80,31.28,481
34,10,56,72.96,322
41,67,37,72.27,431
52,6,23,47,214
44,80,16,37.64,392
19,56,54,82.73,422
3,25,6,62.78,105
7,28,11,70.98,142
30,79,57,29.08,525
38,4,25,38.99,188
16,69,78,90.51,551
12,69,60,49.58,471
29,8,45,61.71,262
20,65,11,51.63,279
42,20,48,43.25,336
15,17,36,69.55,225
25,73,17,68.83,337
7,32,1,76.54,114
25,74,9,63.77,308
9,56,26,70.89,290
2,72,67,58.92,488
6,36,67,46.86,388
27,62,49,28.16,436
3,85,72,51.59,549
39,33,5,57.94,197
32,14,18,48.96,178
48,5,34,54.43,247
7,6,28,48.39,144
37,28,31,68.8,282
14,14,64,83.33,326
21,35,66,49.6,411
47,83,25,70.37,443
5,89,61,83.43,521
44,0,33,55.36,220
43,45,25,45.13,321
10,3,69,80.67,305
45,49,44,79.79,413
51,4,37,34.36,262
18,65,1,35.94,235
29,72,13,90.06,326
36,74,54,57.85,510
17,8,47,42.7,246
43,61,45,59.17,449
11,64,17,26.31,282
31,24,76,26.64,438
22,21,58,83.2,339
14,6,4,87.95,62
30,25,80,66.17,455
48,35,57,47.62,429
10,61,23,84.11,295
5,35,55,86.27,335
23,39,79,68.53,479
10,11,55,53.23,273
6,22,31,51.19,202
31,30,74,80.82,448
31,84,75,90.57,614
7,49,20,41.25,241
17,11,9,44.25,103
16,82,19,35.13,354
31,66,24,49.22,356
2,70,81,54.83,538
16,73,42,59.68,419
9,56,41,61.3,350
37,64,17,74.32,334
2,81,79,31.99,563
11,64,35,41.54,354
32,59,59,86.55,477
9,38,9,63.94,168
47,5,20,82.71,189
18,23,33,55.88,237
20,9,9,83.25,103
24,65,5,54.39,263
41,11,67,68.06,383
39,19,36,54.1,279
17,51,6,65.87,211
34,57,14,81.66,295
8,13,63,42.87,307
29,33,4,79.4,173
2,71,66,46.15,481
23,2,18,85.76,124
42,28,28,85.54,280
43,14,25,57.16,228
26,76,1,52.92,284
46,2,24,69.67,194
7,32,82,28,438
50,11,66,86.3,397
30,50,51,31.93,414
49,44,81,87.91,554
51,69,19,82.51,385
28,82,42,29.39,470
1,56,61,32.28,414
15,46,17,54.01,236
43,90,24,49.08,452
41,67,7,67.33,311
28,5,1,58.12,75
48,31,62,57.79,437
1,87,69,38.37,539
2,72,75,76.11,520
43,74,74,68.12,604
14,5,49,43.99,239
51,39,42,89.83,387
37,82,28,47.22,432
51,19,73,38.38,451
20,28,7,26.8,152
5,33,82,61.52,437
8,35,54,30.53,337
27,63,50,65.53,443
9,4,16,51.77,94
5,44,63,89.26,394
25,39,27,29.16,275
30,66,45,54.23,438
44,69,7,89.05,323
49,76,64,76.38,582
33,34,79,79.37,484
48,33,36,51.28,339
46,85,10,31.67,387
38,87,78,51.04,649
43,77,9,31.24,353
10,66,81,64.61,542
24,0,81,44.79,372
5,83,78,81.1,571
30,5,48,79.25,267
1,35,67,28.89,375
14,78,42,34.15,430
24,6,81,63.03,390
10,86,36,58.87,422
5,7,38,37.51,183
4,62,32,32.31,322
35,58,11,35.15,288
21,61,33,47.41,357
38,13,33,51.18,247
11,51,5,59.05,195
9,63,48,61.99,399
24,50,7,31.62,226
4,29,22,66.08,183
8,84,77,65.24,576
51,80,55,46.19,562
10,7,76,66.17,345
6,62,12,89.02,246
21,70,69,26.41,528
17,56,29,30.1,318
20,17,12,87.51,139
27,39,35,84.16,311
46,87,36,47.79,497
8,47,35,86.09,297
11,50,43,47.3,344
14,35,3,79.54,145
38,3,75,57.25,385
34,83,30,81.8,437
28,21,28,65.18,231
8,78,37,76.92,398
3,1,7,36.42,37
35,60,26,56.08,354
50,79,35,89.32,477
32,8,79,62.03,404
5,87,11,31.09,315
49,42,70,83.55,504
7,63,29,62.74,319
26,37,81,40.53,487
33,7,41,69.78,251
23,89,13,61.55,365
9,79,73,29.63,547
45,62,80,66.85,596
18,9,79,80.5,379
49,23,48,45.36,359
41,9,25,28.68,209
45,48,57,43.35,462
2,36,77,27.42,420
51,82,13,45.48,400
35,59,80,45.93,567
41,23,75,71.37,451
21,82,34,68.75,424
36,12,14,54.81,164
7,5,32,40.52,157
29,68,34,83.22,398
44,84,69,43.71,616
13,44,71,87.1,442
28,19,10,77.62,153
49,76,78,60.28,638
33,24,16,54.61,202
37,26,82,81.7,480
49,72,62,37.18,562
25,77,66,37.86,545
2,76,62,49.67,480
51,21,65,83.63,425
25,36,71,86.94,442
10,30,65,76.05,370
10,88,64,27.66,540
51,33,12,64.43,249
10,10,69,40.88,326
25,84,2,26.59,310
39,32,71,38.11,458
4,89,79,68.23,591
4,38,27,54.42,230
19,47,3,81.56,191
1,8,24,62.93,122
33,19,47,72.61,311
0,60,71,30.36,464
43,7,7,64.74,135
21,32,2,87,146
30,64,41,49.26,416
3,69,65,48.55,473
1,67,76,62.64,507
42,73,64,38.28,559
16,49,53,37.38,391
32,66,17,69.19,330
28,69,60,81.19,503
32,19,64,75.83,377
49,9,67,56.97,393
9,59,2,45.76,203
43,20,20,38.38,226
23,90,58,85.05,548
31,1,61,62.31,309
51,52,32,48.83,386
35,3,8,84.07,111
17,45,51,32.79,373
34,36,58,31.52,408
15,52,50,76.61,386
33,15,70,64.49,391
35,64,1,27.55,266
9,10,11,90,92
46,47,80,85.6,553
18,81,62,67.15,527
39,57,11,37.6,293
29,49,23,84.84,297
9,62,28,36.53,316
50,38,19,61.85,290
13,81,3,67.82,281
40,63,62,62.84,517
13,49,81,81.05,497
30,15,41,84.81,269
49,87,29,46.84,475
32,10,11,70.92,138
39,69,82,74.06,613
37,74,33,39.68,428
20,34,47,89.35,330
29,43,33,58.45,319
9,65,8,27.41,245
30,10,28,50.26,202
30,28,33,41.51,276
19,27,52,69.41,327
19,3,38,63.89,199
33,87,73,63.03,619
43,69,82,76.68,621
35,8,56,46.84,318
39,38,0,82.64,192
13,37,76,56.55,441
15,61,51,64.3,417
33,11,28,30.58,211
24,7,7,52.66,97
8,61,19,37.43,275
4,6,69,79.04,302
36,61,48,28.95,447
15,70,25,72.1,340
25,75,36,84.18,419
45,82,23,68.72,428
19,21,15,89.44,161
5,39,34,50.26,263
29,44,52,85.84,398
15,90,73,37.68,592
46,72,63,58.22,560
3,60,50,76.49,386
14,7,35,49.4,189
25,52,66,31.07,470
41,48,0,70.25,226
8,78,42,50.75,418
41,50,24,81,328
2,76,82,69.87,560
4,17,58,66.27,291
46,25,16,32.86,231
21,73,15,30.17,321
19,32,2,73.23,142
52,6,76,61.72,426
47,24,47,58.4,354
49,64,42,66.63,458
27,6,23,82.47,164
0,31,8,90.42,125
1,17,36,87.01,197
49,9,4,83.81,141
13,75,27,43.97,359
37,14,56,82.18,340
16,59,53,60.82,421
46,73,30,34.58,431
42,68,58,44.76,520
40,90,33,57.07,482
23,36,6,55.61,178
25,51,8,70.62,235
39,4,33,54.72,222
27,53,70,86.86,493
38,53,50,63.62,435
32,85,45,87.34,499
28,58,24,89.66,326
23,84,0,41.63,298
5,80,74,70.87,546
35,66,49,45.95,464
12,43,1,83.12,157
2,56,10,30.33,212
35,83,66,26.82,583
14,51,7,27.13,209
45,17,5,62.86,161
29,86,72,89.41,604
14,39,82,69.01,473
20,11,8,70.75,105
42,66,54,85.4,498
42,29,73,27.7,463
42,15,21,66.4,213
13,82,33,35.66,404
27,9,45,79,261
3,41,12,31.23,177
4,54,59,73.09,406
9,70,75,85.93,528
22,52,57,41.79,428
52,7,46,51.51,309
25,19,2,43.36,115
7,87,78,70.87,587
28,24,60,74.09,368
44,71,60,37.2,541
39,89,34,37.6,481
3,53,39,78.96,321
20,32,63,82.26,388
18,69,67,46.62,511
22,56,14,61.64,268
21,85,65,80.47,557
21,34,38,84.38,296
20,54,32,32.38,330
44,40,11,25.64,252
37,44,0,65.65,206
34,10,3,52.9,110
4,2,36,78.17,158
28,44,29,71.73,304
39,16,3,77.43,138
4,40,81,35.24,452
47,36,1,56.4,206
44,19,61,28.61,389
42,68,51,80.01,492
41,27,12,40.88,211
13,48,14,50.3,226
17,37,80,49.59,465
6,45,18,43.92,219
9,52,77,83.88,482
13,77,69,56.46,533
12,24,14,73.62,152
35,31,9,57.1,199
27,49,64,26.41,457
22,53,27,48,311
45,3,46,66.11,283
5,28,11,82.01,138
46,3,80,25.76,421
3,46,63,86.69,396
31,61,32,26.19,373
10,90,76,38.2,594
51,49,82,84.48,577
1,55,72,89.66,455
13,36,82,43.35,462
26,1,51,80.45,259
21,90,61,74.98,556
9,62,44,71.07,380
15,80,82,81.03,598
37,32,71,59.99,454
48,82,61,67.28,586
5,57,46,38.72,365
22,44,34,27.89,312
20,85,36,32.75,439
30,59,8,67.11,269
17,87,33,89.07,427
3,47,67,58.28,415
18,38,15,26.76,210
50,17,41,66.71,315
48,4,54,43.85,324
31,65,6,85.95,281
23,0,9,84.33,82
26,13,47,63.3,279
46,84,27,65.8,452
17,87,33,71.14,427
21,10,9,77.32,108
28,18,20,31.9,190
34,32,62,54.43,412
29,21,24,49.34,217
46,75,34,79.77,453
5,7,70,28.54,311
38,14,66,79.64,382
14,61,23,37.18,303
1,72,14,56.69,274
23,85,73,73.56,593
41,60,59,65.42,498
34,70,37,81.17,426
32,21,68,32.53,399
25,39,27,47.46,275
9,72,35,33.42,374
8,74,66,85.86,502
52,37,65,51.22,475
29,47,28,60.48,311
28,61,18,84.78,311
36,57,22,68.66,331
14,64,40,49.38,380
28,82,43,45.93,474
52,16,76,68.75,456
36,32,27,56.46,276
15,78,39,45.48,420
13,16,17,84.83,142
26,44,0,37.71,184
19,10,66,35.79,332
21,24,50,48.18,314
18,24,43,77.15,280
26,47,15,85.3,253
49,37,48,90.24,401
44,19,25,38.85,245
42,12,17,59.99,188
52,59,25,32.05,381
44,36,68,29.31,468
45,33,74,42.19,485
25,52,8,30.72,238
21,54,32,50.86,332
6,23,79,60.2,397
3,20,33,50.13,198
36,13,42,50.71,279
42,10,74,57.53,410
33,88,23,89.41,422
43,28,1,34.45,174
11,71,66,68.37,499
20,22,34,36.65,242
24,17,61,30.81,343
29,88,4,69.6,338
45,28,34,60.41,310
10,31,43,58.69,285
14,66,6,29.35,250
27,67,82,67.22,583
13,83,41,58.98,439
20,40,13,46.07,212
3,63,4,84.33,211
41,16,54,48.76,346
48,26,30,67,294
46,82,15,36.36,398
2,63,3,38.95,205
12,11,1,77.83,61
7,25,58,50.23,321
18,42,81,53.32,486
35,75,66,49.66,559
7,43,11,89,187
4,78,40,26.15,402
18,52,40,36.5,352
9,63,17,42.65,275
29,30,71,72.38,432
23,33,34,86.66,281
45,30,16,38.7,244
9,54,13,55.46,232
19,36,10,82.33,186
32,58,74,45.13,534
22,67,47,41.9,433
42,67,16,40.81,349
15,51,81,27.25,507
24,58,7,44.07,250
31,54,18,43.4,296
46,82,56,78.82,562
7,2,78,37.95,332
52,62,28,30.77,402
0,44,33,29.42,264
46,69,9,66.43,335
25,58,32,48.04,352
39,80,74,75.94,614
