k1,k2,k3,avg,diff
34,39,21,27.25,269
27,65,62,57.23,497
22,64,17,79.93,304
24,64,52,43.07,448
39,0,41,53.17,242
18,49,73,36.23,475
34,34,63,74.49,422
30,12,32,36.76,224
47,14,55,53.31,356
9,89,50,71.13,485
5,43,4,65.49,155
9,55,38,62.72,335
22,39,18,84.85,233
4,75,41,40.38,397
15,9,22,62.82,145
11,36,27,61.06,238
34,29,14,71.98,211
36,62,26,78.9,362
33,61,58,27.62,481
27,36,59,69.05,398
37,83,29,45.09,439
27,85,0,26.85,309
44,78,46,79.91,506
2,32,76,65.91,404
12,50,46,38.16,358
49,31,63,51.35,443
15,67,42,70.25,399
25,29,11,74.08,181
0,54,21,57.54,246
11,57,50,64.56,393
16,29,23,89.53,211
38,89,68,87.14,615
34,15,41,80.73,277
50,75,52,82.3,533
44,43,30,60.41,337
19,89,12,77.67,353
26,41,52,46.68,383
9,27,38,42.42,251
1,10,24,67.21,128
35,70,4,39.13,296
26,21,23,61.21,207
19,40,51,63.99,362
25,60,59,30.4,466
20,66,38,48.43,390
47,90,69,74.83,640
31,23,53,26.6,343
28,0,42,26.91,224
6,44,60,47.72,384
50,29,6,33.8,211
49,83,50,54.24,547
21,54,8,77.76,236
17,75,47,28.76,447
16,57,76,51.89,507
14,67,1,41.48,233
7,89,63,36.08,533
18,27,41,42.33,281
42,63,55,86.26,493
24,47,63,32.69,441
0,65,61,75.64,439
8,88,54,37.42,496
38,41,71,32.26,483
39,82,77,39.85,632
36,58,21,50.07,330
37,39,25,39.05,291
28,54,80,36.51,538
9,34,53,63.76,332
22,17,73,85.19,387
0,2,68,53.98,278
16,43,25,82.42,261
44,63,60,84.83,517
46,15,60,36.79,377
4,52,3,68.77,176
36,43,65,87.64,461
32,42,8,56.77,222
42,84,28,57.39,448
26,75,80,53.19,597
49,75,72,30.77,611
22,68,77,34.97,556
20,18,77,59.18,402
2,17,80,84.68,375
26,58,4,39.32,242
10,42,74,66.29,442
17,0,61,72.04,278
44,85,54,53.7,559
22,16,69,60.19,368
5,38,59,78.97,360
30,25,62,56.25,383
2,12,17,64.18,108
35,37,11,49.3,225
39,12,9,65.92,150
45,54,68,31.15,524
22,32,24,74.74,236
42,54,63,87.36,498
4,29,78,70.23,407
16,27,33,65.86,245
19,54,19,77.71,276
15,41,40,30.02,313
30,42,31,83.14,310
39,71,71,51.17,575
43,0,72,62.48,374
40,49,11,55.08,271
30,60,78,58.95,552
43,20,78,49.87,458
2,67,60,57.72,445
17,39,19,59.34,227
0,66,38,26.48,350
7,15,24,32.24,155
40,43,55,37.45,429
18,18,60,49.19,330
28,61,57,82.89,467
14,89,51,38.63,499
41,12,1,62.06,122
52,56,52,39.37,480
19,71,56,83.59,475
25,36,65,59.94,418
24,62,18,59.37,306
51,5,47,70.23,305
29,73,75,54.77,577
32,22,18,46.69,202
25,74,17,59.44,340
21,54,40,49.62,364
52,88,50,84.4,568
0,65,57,67.88,423
39,23,58,51.1,379
23,11,66,69.86,343
25,12,31,45.62,210
24,58,35,76.26,362
45,31,4,75.38,199
44,55,7,53.68,281
36,75,27,26.24,405
1,88,54,27.49,482
23,63,80,36.89,555
48,73,33,80.26,447
7,10,73,67.92,336
20,44,48,45.31,364
33,42,78,47.02,504
46,17,59,34.96,379
8,54,0,32.81,178
31,33,80,31.28,481
34,10,56,72.96,322
41,67,37,72.27,431
52,6,23,47,214
44,80,16,37.64,392
19,56,54,82.73,422
3,25,6,62.78,105
7,28,11,70.98,142
30,79,57,29.08,525
38,4,25,38.99,188
16,69,78,90.51,551
12,69,60,49.58,471
29,8,45,61.71,262
20,65,11,51.63,279
42,20,48,43.25,336
15,17,36,69.55,225
25,73,17,68.83,337
7,32,1,76.54,114
25,74,9,63.77,308
9,56,26,70.89,290
2,72,67,58.92,488
6,36,67,46.86,388
27,62,49,28.16,436
3,85,72,51.59,549
39,33,5,57.94,197
32,14,18,48.96,178
48,5,34,54.43,247
7,6,28,48.39,144
37,28,31,68.8,282
14,14,64,83.33,326
21,35,66,49.6,411
47,83,25,70.37,443
5,89,61,83.43,521
44,0,33,55.36,220
43,45,25,45.13,321
10,3,69,80.67,305
45,49,44,79.79,413
51,4,37,34.36,262
18,65,1,35.94,235
29,72,13,90.06,326
36,74,54,57.85,510
17,8,47,42.7,246
43,61,45,59.17,449
11,64,17,26.31,282
31,24,76,26.64,438
22,21,58,83.2,339
14,6,4,87.95,62
30,25,80,66.17,455
48,35,57,47.62,429
10,61,23,84.11,295
5,35,55,86.27,335
23,39,79,68.53,479
10,11,55,53.23,273
6,22,31,51.19,202
31,30,74,80.82,448
31,84,75,90.57,614
7,49,20,41.25,241
17,11,9,44.25,103
16,82,19,35.13,354
31,66,24,49.22,356
2,70,81,54.83,538
16,73,42,59.68,419
9,56,41,61.3,350
37,64,17,74.32,334
2,81,79,31.99,563
11,64,35,41.54,354
32,59,59,86.55,477
9,38,9,63.94,168
47,5,20,82.71,189
18,23,33,55.88,237
20,9,9,83.25,103
24,65,5,54.39,263
41,11,67,68.06,383
39,19,36,54.1,279
17,51,6,65.87,211
34,57,14,81.66,295
8,13,63,42.87,307
29,33,4,79.4,173
2,71,66,46.15,481
23,2,18,85.76,124
42,28,28,85.54,280
43,14,25,57.16,228
26,76,1,52.92,284
46,2,24,69.67,194
7,32,82,28,438
50,11,66,86.3,397
30,50,51,31.93,414
49,44,81,87.91,554
51,69,19,82.51,385
28,82,42,29.39,470
1,56,61,32.28,414
15,46,17,54.01,236
43,90,24,49.08,452
41,67,7,67.33,311
28,5,1,58.12,75
48,31,62,57.79,437
1,87,69,38.37,539
2,72,75,76.11,520
43,74,74,68.12,604
14,5,49,43.99,239
51,39,42,89.83,387
37,82,28,47.22,432
51,19,73,38.38,451
20,28,7,26.8,152
5,33,82,61.52,437
8,35,54,30.53,337
27,63,50,65.53,443
9,4,16,51.77,94
5,44,63,89.26,394
25,39,27,29.16,275
30,66,45,54.23,438
44,69,7,89.05,323
49,76,64,76.38,582
33,34,79,79.37,484
48,33,36,51.28,339
46,85,10,31.67,387
38,87,78,51.04,649
43,77,9,31.24,353
10,66,81,64.61,542
24,0,81,44.79,372
5,83,78,81.1,571
30,5,48,79.25,267
1,35,67,28.89,375
14,78,42,34.15,430
24,6,81,63.03,390
10,86,36,58.87,422
5,7,38,37.51,183
4,62,32,32.31,322
35,58,11,35.15,288
21,61,33,47.41,357
38,13,33,51.18,247
11,51,5,59.05,195
9,63,48,61.99,399
24,50,7,31.62,226
4,29,22,66.08,183
8,84,77,65.24,576
51,80,55,46.19,562
10,7,76,66.17,345
6,62,12,89.02,246
21,70,69,26.41,528
17,56,29,30.1,318
20,17,12,87.51,139
27,39,35,84.16,311
46,87,36,47.79,497
8,47,35,86.09,297
11,50,43,47.3,344
14,35,3,79.54,145
38,3,75,57.25,385
34,83,30,81.8,437
28,21,28,65.18,231
8,78,37,76.92,398
3,1,7,36.42,37
35,60,26,56.08,354
50,79,35,89.32,477
32,8,79,62.03,404
5,87,11,31.09,315
